angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[825, 176, 291, 370]",0.0,0.04,0.0,0.64,0.29,0.01
0.02,"[826, 177, 290, 369]",0.0,0.05,0.0,0.58,0.35,0.0
0.02,"[826, 176, 290, 370]",0.0,0.05,0.0,0.61,0.32,0.0
0.01,"[825, 175, 292, 373]",0.0,0.05,0.0,0.71,0.11,0.11
0.01,"[831, 206, 276, 338]",0.0,0.09,0.0,0.8,0.09,0.0
0.01,"[824, 181, 290, 366]",0.0,0.04,0.01,0.76,0.08,0.1
0.01,"[824, 181, 290, 366]",0.0,0.06,0.01,0.68,0.13,0.12
0.01,"[824, 181, 290, 366]",0.0,0.06,0.01,0.68,0.13,0.12
0.01,"[824, 183, 289, 365]",0.0,0.06,0.0,0.69,0.16,0.09
0.01,"[824, 183, 289, 365]",0.0,0.04,0.0,0.74,0.09,0.12
0.01,"[822, 182, 290, 368]",0.0,0.07,0.0,0.63,0.17,0.12
0.01,"[822, 182, 290, 368]",0.0,0.06,0.0,0.64,0.17,0.12
0.01,"[822, 181, 290, 370]",0.0,0.03,0.0,0.83,0.13,0.0
0.01,"[821, 182, 289, 369]",0.0,0.02,0.0,0.89,0.09,0.0
0.03,"[821, 181, 289, 370]",0.0,0.04,0.0,0.57,0.35,0.01
0.02,"[819, 181, 290, 370]",0.0,0.03,0.0,0.66,0.28,0.01
0.03,"[819, 180, 290, 372]",0.0,0.04,0.0,0.66,0.27,0.01
0.03,"[819, 180, 290, 372]",0.0,0.04,0.0,0.64,0.28,0.01
0.01,"[817, 178, 295, 378]",0.0,0.05,0.01,0.67,0.08,0.18
0.01,"[817, 177, 295, 379]",0.0,0.05,0.01,0.64,0.07,0.23
0.02,"[841, 198, 279, 347]",0.0,0.18,0.01,0.59,0.11,0.09
0.02,"[841, 199, 279, 346]",0.0,0.16,0.01,0.63,0.11,0.07
0.02,"[841, 198, 279, 347]",0.0,0.19,0.01,0.57,0.12,0.09
0.01,"[817, 181, 294, 374]",0.0,0.05,0.01,0.69,0.1,0.14
0.02,"[819, 180, 292, 374]",0.0,0.08,0.02,0.39,0.19,0.29
0.01,"[817, 179, 295, 376]",0.0,0.06,0.0,0.79,0.13,0.01
0.01,"[817, 179, 295, 376]",0.0,0.06,0.0,0.79,0.13,0.01
0.02,"[817, 178, 295, 377]",0.0,0.1,0.0,0.63,0.21,0.03
0.01,"[819, 182, 289, 370]",0.0,0.05,0.01,0.65,0.13,0.15
0.01,"[819, 182, 289, 370]",0.0,0.05,0.01,0.65,0.12,0.15
0.01,"[820, 181, 289, 370]",0.0,0.04,0.0,0.78,0.15,0.02
0.01,"[820, 182, 289, 369]",0.0,0.05,0.0,0.75,0.16,0.03
0.01,"[820, 183, 289, 367]",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"[820, 183, 289, 367]",0.0,0.02,0.0,0.86,0.11,0.0
0.01,"[820, 183, 289, 367]",0.0,0.02,0.0,0.85,0.12,0.0
0.01,"[820, 183, 289, 367]",0.0,0.02,0.0,0.84,0.13,0.0
0.01,"[821, 184, 288, 367]",0.0,0.07,0.01,0.62,0.13,0.16
0.01,"[821, 184, 288, 366]",0.0,0.02,0.0,0.81,0.15,0.0
0.02,"[821, 184, 287, 367]",0.0,0.04,0.0,0.7,0.24,0.0
0.02,"[821, 184, 288, 366]",0.0,0.04,0.0,0.67,0.27,0.01
0.01,"[844, 200, 275, 343]",0.0,0.05,0.0,0.84,0.09,0.01
0.01,"[845, 200, 274, 343]",0.0,0.05,0.0,0.83,0.1,0.01
0.01,"[845, 200, 274, 343]",0.0,0.05,0.0,0.83,0.1,0.01
0.01,"[843, 201, 273, 342]",0.0,0.04,0.0,0.89,0.05,0.01
0.02,"[843, 202, 274, 340]",0.0,0.13,0.0,0.68,0.14,0.03
0.02,"[844, 201, 275, 342]",0.0,0.14,0.0,0.67,0.14,0.04
0.02,"[844, 201, 275, 342]",0.0,0.14,0.0,0.66,0.14,0.04
0.02,"[844, 201, 275, 342]",0.0,0.14,0.0,0.66,0.14,0.04
0.01,"[821, 184, 289, 368]",0.0,0.03,0.0,0.79,0.16,0.01
0.01,"[821, 184, 289, 368]",0.0,0.03,0.0,0.76,0.18,0.01
0.04,"[823, 183, 288, 370]",0.0,0.06,0.0,0.51,0.38,0.01
0.04,"[823, 183, 288, 370]",0.0,0.06,0.0,0.5,0.39,0.01
0.02,"[822, 184, 289, 369]",0.0,0.03,0.0,0.77,0.18,0.01
0.01,"[821, 179, 295, 378]",0.0,0.05,0.0,0.66,0.12,0.15
0.01,"[821, 180, 296, 377]",0.0,0.06,0.0,0.64,0.16,0.12
0.01,"[846, 202, 276, 345]",0.0,0.05,0.0,0.89,0.05,0.01
0.01,"[847, 202, 276, 345]",0.0,0.05,0.0,0.85,0.08,0.01
0.01,"[846, 202, 276, 345]",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"[847, 203, 276, 345]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[847, 203, 276, 345]",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"[845, 202, 279, 345]",0.0,0.1,0.0,0.7,0.15,0.02
0.01,"[846, 202, 278, 345]",0.0,0.09,0.0,0.74,0.14,0.02
0.01,"[846, 202, 278, 346]",0.0,0.02,0.0,0.9,0.06,0.0
0.01,"[845, 200, 279, 348]",0.0,0.02,0.0,0.9,0.06,0.0
0.01,"[845, 200, 279, 348]",0.0,0.03,0.0,0.9,0.07,0.0
0.01,"[826, 183, 293, 375]",0.0,0.04,0.0,0.79,0.14,0.02
0.01,"[826, 183, 292, 375]",0.0,0.04,0.0,0.81,0.13,0.02
0.01,"[827, 184, 292, 373]",0.0,0.03,0.0,0.84,0.11,0.01
0.01,"[827, 182, 293, 375]",0.0,0.03,0.0,0.8,0.16,0.01
0.01,"[827, 182, 292, 375]",0.0,0.02,0.0,0.82,0.15,0.0
0.01,"[824, 180, 294, 376]",0.0,0.09,0.0,0.61,0.22,0.06
0.01,"[843, 199, 279, 350]",0.0,0.08,0.0,0.76,0.11,0.04
0.02,"[844, 199, 279, 350]",0.0,0.12,0.0,0.67,0.16,0.03
0.02,"[846, 201, 278, 348]",0.0,0.15,0.0,0.63,0.16,0.03
0.02,"[845, 201, 278, 347]",0.0,0.2,0.0,0.56,0.17,0.04
0.02,"[846, 202, 277, 345]",0.0,0.12,0.0,0.68,0.14,0.03
0.01,"[848, 200, 278, 348]",0.0,0.12,0.0,0.73,0.09,0.05
0.01,"[847, 200, 279, 348]",0.0,0.1,0.0,0.74,0.08,0.06
0.01,"[848, 200, 278, 348]",0.0,0.04,0.0,0.91,0.04,0.01
0.01,"[847, 199, 280, 351]",0.0,0.13,0.0,0.66,0.08,0.12
0.01,"[848, 199, 279, 350]",0.0,0.12,0.0,0.68,0.08,0.1
0.01,"[846, 196, 283, 355]",0.0,0.14,0.01,0.54,0.06,0.23
0.01,"[847, 196, 282, 354]",0.0,0.16,0.0,0.52,0.06,0.24
0.01,"[824, 182, 297, 371]",0.0,0.11,0.0,0.08,0.02,0.78
0.0,"[846, 193, 285, 358]",0.0,0.17,0.0,0.05,0.02,0.75
0.0,"[846, 193, 285, 359]",0.0,0.16,0.0,0.05,0.02,0.76
0.01,"[848, 193, 280, 354]",0.0,0.38,0.0,0.06,0.01,0.54
0.0,"[848, 193, 280, 355]",0.0,0.14,0.0,0.0,0.01,0.84
0.01,"[846, 189, 279, 354]",0.0,0.19,0.04,0.01,0.01,0.74
0.01,"[845, 189, 281, 354]",0.0,0.21,0.03,0.01,0.01,0.74
0.01,"[846, 190, 280, 353]",0.0,0.22,0.04,0.01,0.01,0.72
0.01,"[845, 187, 280, 352]",0.0,0.02,0.7,0.01,0.0,0.25
0.01,"[844, 187, 281, 352]",0.0,0.02,0.74,0.01,0.0,0.22
0.0,"[847, 187, 278, 347]",0.0,0.0,0.93,0.0,0.0,0.06
0.0,"[847, 187, 278, 347]",0.0,0.0,0.93,0.0,0.0,0.06
0.0,"[847, 187, 278, 348]",0.0,0.0,0.92,0.0,0.0,0.07
